Line Name, Code, English
script_job.coral-casting-shade.helpNeedMeasurementsInTankRoom_13, @A2430BEC, "{@guide}\tTry measuring the Staghorn Coral with both the tank stabilizer and auto feeder on."
script_job.coral-casting-shade.helpNeedMeasurementsInTankRoom_16, @9F430733, "{@guide}\tLooks like you still need to try more experiments."
script_job.coral-casting-shade.helpNeedMeasurementsInTankRoom_17, @9E4305A0, "{@guide}\tWe'll need more information to build a model."
script_job.coral-casting-shade.helpNeedMeasurementsInTankRoom_18, @AD431D3D, "{@guide}\tTry measuring the Staghorn Coral in a different Environment."
script_job.coral-casting-shade.helpNeedMeasurementsInTankRoom_21, @AC455A41, "{@guide}\tLooks like you still need to try more experiments."
script_job.coral-casting-shade.helpNeedMeasurementsInTankRoom_22, @A9455588, "{@guide}\tWe'll need more information to build a model."
script_job.coral-casting-shade.helpNeedMeasurementsInTankRoom_23, @AA45571B, "{@guide}\tTry measuring the Staghorn Coral with the tank stabilizer turned off and auto-feeder on."
script_job.coral-casting-shade.helpNeedMeasurementsOutsideTankRoom_0, @EDFDA36A, "{@guide} You still need more information about how Sargassum and Staghorn Coral behave."
script_job.coral-casting-shade.helpNeedMeasurementsOutsideTankRoom_1, @EEFDA4FD, "{@guide} I suggest returning to the Experiment Lab."
script_job.coral-casting-shade.allExperimentsDone_0, @2F57C327, "{@player} Whew. Okay, {nameof @guide}, what now?"
script_job.coral-casting-shade.allExperimentsDone_1, @2E57C194, "{@guide}\tHead to the Modeling Lab. It's time to build your model!"
script_job.coral-casting-shade.allExperimentsDone_2, @3157C64D, "{@player}\tOkay. Let's get this done fast. I bet {nameof @profCoral} is getting stressed out waiting for us."
script_job.coral-casting-shade.allExperimentsDone_3, @3057C4BA, "{@guide} Perhaps we should determine his Stress Ranges."
script_job.coral-casting-shade.allExperimentsDone_4, @2B57BCDB, "{@player} Ha! {nameof @guide}, you made a joke. Que adorable."
script_job.coral-casting-shade.helpAllExperimentsDone_0, @2E77D2C0, "{@guide}\tHead over to the Modeling Lab."
script_job.coral-casting-shade.helpAllExperimentsDone_1, @2F77D453, "{@guide}\tYou need to build a descriptive model of how Sargassum affects Staghorn Coral."
script_job.coral-casting-shade.InterventionModelingSetup_0, @0AD1D633, "{@player} Okay, {nameof @guide}. What now?"
script_job.coral-casting-shade.InterventionModelingSetup_1, @09D1D4A0, "{@guide} \tAdd the facts you just gathered, and then press Simulation."
script_job.coral-casting-shade.ModelHelp1_0, @0D25B3FF, "{@player} \tCan you remind me what to do here, {nameof @guide}?"
script_job.coral-casting-shade.ModelHelp1_1, @0C25B26C, "{@guide}\tMake sure to import the new facts you just learned, and then press ""Simulate"""
script_job.coral-casting-shade.InterventionGetSync_0, @4E43DC70, "{@guide} \tNow you need to match up the historical data again."
script_job.coral-casting-shade.ModelHelp2_0, @DCBF4B1E, "{@player} \tWhat should I do next?"
script_job.coral-casting-shade.ModelHelp2_1, @DDBF4CB1, "{@guide}\tDrag the sliders on the left to match the historical data, and then press ""Sync"" to continue."
script_job.coral-casting-shade.ModelHelp2_2, @DABF47F8, "{@guide}\tIf you can't get the historical data to match, you might need to spend more time in the {nameof Experimentation} first."
script_job.coral-casting-shade.InterventionModelSyncedImmediate_0, @A41AB373, "{@guide} \tYou did it! Acceptable work, O!"
script_job.coral-casting-shade.InterventionModelSyncedImmediate_1, @A31AB1E0, "{@player} Whew. Finally!! I don't know how {nameof @profCoral} is so patient all the time."
script_job.coral-casting-shade.InterventionModelSyncedImmediate_2, @A61AB699, "Though I guess working with turtles might help... they're not exactly in a hurry."
script_job.coral-casting-shade.ModelHelp3_0, @E1985B89, "{@player} \tWhat should I do next?"
script_job.coral-casting-shade.ModelHelp3_1, @E09859F6, "{@guide}\tThe graph now shows a prediction of how the light levels change over time."
script_job.coral-casting-shade.ModelHelp3_2, @DF985863, "{@guide}\tHit the ""Save Prediction"" button to move on."
script_job.coral-casting-shade.InterventionModelingGraphComplete_0, @2F2D2CD9, "{@player} I knew it. Looks like the Sargassum did cause the low light at Site R."
script_job.coral-casting-shade.InterventionModelingGraphComplete_1, @2E2D2B46, "{@guide} Yes. It is as we suspected."
script_job.coral-casting-shade.InterventionModelingGraphComplete_2, @2D2D29B3, "Time to report back to {nameof @profCoral}!"
script_job.coral-casting-shade.helpAfterModel_0, @D6E667F6, "{@player} \tWhat should we be doing next?"
script_job.coral-casting-shade.helpAfterModel_1, @D7E66989, "{@guide}\tYou need to report back to the {m}research station{/m} with your findings!"
script_job.coral-casting-shade.modelSuggestions_2, @BD3AD8BA, "{@guide}    You're done with this portion! Head to the {h}Describe{/h} tab next."
script_job.coral-casting-shade.modelSuggestions_4, @B73ACF48, "{@guide}    Once you import your facts and save the Visual model, we should be good to make our Describe model!"
script_job.coral-casting-shade.modelSuggestions_8, @B33AC8FC, "{@guide}    Time to try out your model in the {h}Describe{/h} tab."
script_job.coral-casting-shade.modelSuggestions_10, @67A09935, "{@guide}    Seems like we don't have enough information to complete our model accurately."
script_job.coral-casting-shade.modelSuggestions_11, @66A097A2, "Look for {h}question marks{/h} in the  Visual model interface, those point to where we may need more data."
script_job.coral-casting-shade.suggestReproduce_0, @D595A6DF, "{@guide}    Did you get all the reproduction rates?"
script_job.coral-casting-shade.suggestMeasure_0, @2598F12C, "{@guide}    Using the {h}Measurement Tank{/h} to find the rates of unmeasured behaviors may help us here."
script_job.coral-casting-shade.catchScanSarg_0, @67D6C001, "{@player} What now, {nameof @guide}?"
script_job.coral-casting-shade.catchScanSarg_1, @66D6BE6E, "{@guide}    Go to Site R and scan the Sargassum."
script_job.coral-casting-shade.catchPopProbe_0, @FF9CF344, "{@player} What should I do next, {nameof @guide}?"
script_job.coral-casting-shade.catchPopProbe_1, @009CF4D7, "{@guide}    Find the population probe at Site R and scan it."
script_job.coral-casting-shade.catchChemHistory_0, @FAFF1020, "{@player} What should I do next?"
script_job.coral-casting-shade.catchChemHistory_1, @FBFF11B3, "{@guide}    Find the water chemistry probe at Site R and scan it."
script_job.coral-casting-shade.catchSargGrowthRate_0, @6290CB91, "{@player} Okay, {nameof @guide}. What should I do now?"
script_job.coral-casting-shade.catchSargGrowthRate_1, @6190C9FE, "{@guide}    Put the {nameof Sargassum} in the Measurement Tank and find its reproduction rate."
script_job.coral-casting-shade.catchSargGrowthRate_2, @6090C86B, "You may have to adjust the Auto Feeder and {nameof WaterStabilizer} settings in order to obtain the appropriate measurements."
script_job.coral-casting-shade.catchSargLight_0, @87941AD2, "{@player} What should I do here, {nameof @guide}?"
script_job.coral-casting-shade.catchSargLight_1, @88941C65, "{@guide}    Put the {nameof Sargassum} in the Measurement Tank and find how much light it consumes."
script_job.coral-casting-shade.catchSargLight_2, @859417AC, "You may have to adjust the Auto Feeder and {nameof WaterStabilizer} settings to obtain the measurements you need."
script_job.coral-casting-shade.catchCoralGrowthRate_0, @E8DF6693, "{@player} What now, {nameof @guide}?"
script_job.coral-casting-shade.catchCoralGrowthRate_1, @E7DF6500, "{@guide}    Put the {nameof StaghornCoral} in the Measurement Tank in an environment that does not stress it."
script_job.coral-casting-shade.catchCoralGrowthStressed_0, @4AE9B61C, "{@player} What should I do now?"
script_job.coral-casting-shade.catchCoralGrowthStressed_1, @4BE9B7AF, "{@guide}    Put the {nameof StaghornCoral} in the Measurement Tank in an environment that stresses it."
script_job.coral-casting-shade.catchSargModel_0, @B2D24347, "{@player} What's our next move, {nameof @guide}?"
script_job.coral-casting-shade.catchSargModel_1, @B1D241B4, "{@guide}    Create a Prediction Model using the Modeling Lab based on the {nameof Sargassum}."
script_job.coral-casting-shade.catchSargArgue_0, @282DA994, "{@player} So, where do I need to go now?"
script_job.coral-casting-shade.catchSargArgue_1, @292DAB27, "{@guide}    Return to the station to talk to {nameof @profCoral}!"
script_job.coral-casting-shade.argue.intro_1, @91B48EA5, "{@profCoral} Ah. Wonderful. And back much faster than I expected!"
script_job.coral-casting-shade.argue.intro_2, @8EB489EC, "Do you have evidence that Sargassum is hurting the Staghorn Coral?"
script_job.coral-casting-shade.argue.intro_3, @8FB48B7F, "Yes, I've got the evidence."
script_job.coral-casting-shade.argue.intro_4, @8CB486C6, "No, not yet."
script_job.coral-casting-shade.argue.intro_5, @8DB48859, "I don't think Sargassum is the problem."
script_job.coral-casting-shade.argue.introRevisit_0, @71E6461C, "{@profCoral} So, do you have the model showing Sargassum is hurting the Staghorn Coral?"
script_job.coral-casting-shade.argue.introRevisit_1, @72E647AF, "Yes, I've got the evidence."
script_job.coral-casting-shade.argue.introRevisit_2, @73E64942, "No, not yet."
script_job.coral-casting-shade.argue.introRevisit_3, @74E64AD5, "I don't think Sargassum is the problem."
script_job.coral-casting-shade.argue.noEvidence_0, @EB10BAC8, "{@profCoral} Hmmm. I need evidence before I can move forward, O."
script_job.coral-casting-shade.argue.noEvidence_1, @EC10BC5B, "Let me know when you have findings for me to review."
script_job.coral-casting-shade.argue.disagree_0, @634EE8DA, "{@profCoral} Well... considering the Sargassum covering Site R, I find that difficult to believe."
script_job.coral-casting-shade.argue.disagree_1, @644EEA6D, "{@profCoral} It's clear the Sargassum is doing <i>something</i> to the ecosystem."
script_job.coral-casting-shade.argue.disagree_2, @614EE5B4, "{@profCoral} I just need you to confirm it with data."
script_job.coral-casting-shade.argue.yesEvidence_4, @E8E5B4AA, "Present facts from AQOS"
script_job.coral-casting-shade.argue.yesEvidence_7, @E7E5B317, "Let me get back to you."
script_job.coral-casting-shade.argue.correctModelSupplied_1, @B121B854, "{@profCoral} Ah. This confirms our suspicions."
script_job.coral-casting-shade.argue.correctModelSupplied_2, @B421BD0D, "Thank you, O."
script_job.coral-casting-shade.argue.correctModelSupplied_3, @B321BB7A, "{@player}   So... now can I go rip out all that Sargassum?"
script_job.coral-casting-shade.argue.correctModelSupplied_4, @AE21B39B, "{@profCoral} I don't think so, Ollie. You don't have the appropriate training."
script_job.coral-casting-shade.argue.correctModelSupplied_5, @AD21B208, "Also... your mother is an old friend. She would be unhappy with me if I sent you out to clean up highly toxic, extremely pungent algae."
script_job.coral-casting-shade.argue.correctModelSupplied_6, @B021B6C1, "{@player}   My mom isn't in charge here, Professor. She trusted me to go out on my own."
script_job.coral-casting-shade.argue.correctModelSupplied_7, @AF21B52E, "{@profCoral} Still. Why don't you let me mull on it?"
script_job.coral-casting-shade.argue.correctModelSupplied_8, @AA21AD4F, "There might be a better solution..."
script_job.coral-casting-shade.argue.wrongModelSupplied_0, @0A0AA0C2, "{@profCoral} That's not what I need, O."
script_job.coral-casting-shade.argue.wrongModelSupplied_1, @0B0AA255, "See if you have a model that proves the Sargassum is hurting the Staghorn Coral."
script_job.coral-casting-shade.argue.giveUp_0, @09AD1FE2, "{@profCoral} No rush, Ollie. If a job's worth doing, it's worth doing well. Come back here when you're done."
script_job.coral-eat-seaweed.start_1, @4D4A2F9F, "{@player} I'm ready, Professor. We need to save that coral!"
script_job.coral-eat-seaweed.start_2, @4E4A3132, "Did you figure out what to do about the Sargassum? Should we get out there and start scrubbing?"
script_job.coral-eat-seaweed.start_3, @4F4A32C5, "{@profCoral} Slow down, Ollie."
script_job.coral-eat-seaweed.start_4, @484A27C0, "Sometimes, the best way to get rid of something is to add something else."
script_job.coral-eat-seaweed.start_5, @494A2953, "{@player}  I... don't get it."
script_job.coral-eat-seaweed.start_6, @4A4A2AE6, "{@profCoral} We need to add a new species to Site R. Something that eats Sargassum."
script_job.coral-eat-seaweed.start_7, @4B4A2C79, "I need you to analyze the interactions between Sargassum and everything else you've found so far."
script_job.coral-eat-seaweed.start_8, @544A3AA4, "{@player}\t<i>Everything</i> else?? But Professor, what if the Coral don't survive that long?"
script_job.coral-eat-seaweed.start_9, @554A3C37, "What if I can't find the right species??"
script_job.coral-eat-seaweed.start_10, @5AC9107D, "{@profCoral} Slow and steady, Ollie. I have faith in you."
script_job.coral-eat-seaweed.start_11, @59C90EEA, "Go run some experiments, and report back when you're done."
script_job.coral-eat-seaweed.helpBackAtShip_0, @C4B744B5, "{@player} \tWhat should we do now, {nameof @guide}?"
script_job.coral-eat-seaweed.helpBackAtShip_1, @C3B74322, "{@guide}\tYou need to head to {nameof Experimentation} and try to find a species that will help get rid of the Sargassum."
script_job.coral-eat-seaweed.startExperiment_0, @FAC9F187, "{@player} Ugh. Are we doing the right thing, {nameof @guide}?"
script_job.coral-eat-seaweed.startExperiment_1, @F9C9EFF4, "I mean, the coral is dying, and we're hiding in here, running experiments."
script_job.coral-eat-seaweed.startExperiment_2, @FCC9F4AD, "{@guide}  According to {nameof @profCoral}'s notes, this is the best way to help the coral."
script_job.coral-eat-seaweed.startExperiment_3, @FBC9F31A, "{@player} Right. Okay. Focus, O."
script_job.coral-eat-seaweed.startExperiment_4, @F6C9EB3B, "We need to find something that eats Sargassum."
script_job.coral-eat-seaweed.startExperiment_5, @F5C9E9A8, "{@guide} Affirmative. You will need to add Sargassum and another organism to your Observation tank."
script_job.coral-eat-seaweed.startExperiment_6, @F8C9EE61, "Repeat the experiment until you find something useful."
script_job.coral-eat-seaweed.helpAtExperiment_0, @C86CFE77, "{@player} \tCan you remind me what to do, {nameof @guide}?"
script_job.coral-eat-seaweed.helpAtExperiment_1, @C76CFCE4, "{@guide}\tCertainly, O."
script_job.coral-eat-seaweed.helpAtExperiment_2, @CA6D019D, "Try putting different organisms in the tank with Sargassum, and see if anything eats it!"
script_job.coral-eat-seaweed.helpAtExperiment_3, @C96D000A, "Perhaps start with organisms that were not present at Site R."
script_job.coral-eat-seaweed.experimentEnd_0, @01DC3E34, "{@player} Yes!! We did it, {nameof @guide}!"
script_job.coral-eat-seaweed.experimentEnd_1, @02DC3FC7, "Hopefully we'll be in time to save the Coral."
script_job.coral-eat-seaweed.experimentEnd_2, @03DC415A, "{@guide}  Yes. I suggest a hasty return to the Serenity Meadows station!"
script_job.coral-eat-seaweed.guideTowardUnstressed_0, @18E496D1, "{@guide} Ah. The Urchins are eating the Sargassum!"
script_job.coral-eat-seaweed.guideTowardUnstressed_1, @17E4953E, "{@player} Does that mean we got what we need??"
script_job.coral-eat-seaweed.guideTowardUnstressed_2, @16E493AB, "{@guide} Not quite. Try the same thing again, only this time in water from the {nameof RS-2R}."
script_job.coral-eat-seaweed.helpAtExperimentUnstressed_0, @9B0A7CAD, "{@player} \tWhat do I need to do here, {nameof @guide}?"
script_job.coral-eat-seaweed.helpAtExperimentUnstressed_1, @9A0A7B1A, "{@guide} \tYou are almost finished, O!"
script_job.coral-eat-seaweed.helpAtExperimentUnstressed_2, @990A7987, "This time, put the Urchins and Sargassum in the tank with water from the {nameof RS-2R}."
script_job.coral-eat-seaweed.helpReportBack_0, @A6564E90, "{@player} \tWhat now, {nameof @guide}?"
script_job.coral-eat-seaweed.helpReportBack_1, @A7565023, "{@guide}\tYou need to return to Serenity Meadows and report your findings to {nameof @profCoral}!"
script_job.coral-eat-seaweed.catchUrchinSarg_0, @9DD05D03, "{@player} What should I do now, {nameof @guide}?"
script_job.coral-eat-seaweed.catchUrchinSarg_1, @9CD05B70, "{@guide}    Use the Observation Tank to find an organism that eats {nameof Sargassum}."
script_job.coral-eat-seaweed.catchUrchinSargArgue_0, @FF1D9C89, "{@player} Okay, {nameof @guide}. Are we done here?"
script_job.coral-eat-seaweed.catchUrchinSargArgue_1, @FE1D9AF6, "{@guide}  Affirmative, O! Head back to the research station to talk to {nameof @profCoral}!"
script_job.coral-eat-seaweed.argue.intro_0, @6C467552, "{@profCoral} Let's see what you discovered, Ollie."
script_job.coral-eat-seaweed.argue.intro_1, @6D4676E5, "Is there an organism that can clear the Sargassum?"
script_job.coral-eat-seaweed.argue.intro_2, @6A46722C, "Blue Tang"
script_job.coral-eat-seaweed.argue.intro_3, @6B4673BF, "Bluehead Wrasse"
script_job.coral-eat-seaweed.argue.intro_4, @68466F06, "Urchin"
script_job.coral-eat-seaweed.argue.intro_5, @69467099, "Nothing eats the Sargassum."
script_job.coral-eat-seaweed.argue.doesntEatSargasssum_0, @1FD1226C, "{@profCoral} Hmmm. Are you sure, Ollie? That doesn't seem right."
script_job.coral-eat-seaweed.argue.nothingEatsSargassum_0, @3B553F7E, "{@profCoral}\tThat seems unlikely. If you didn't find anything, you might need to run more experiments."
script_job.coral-eat-seaweed.argue.eatsSargassum_0, @BDB56F87, "{@profCoral} Well. That sounds promising! Did you observe the Urchins eating Sargassum?"
script_job.coral-eat-seaweed.argue.evidence_4, @942E9FDB, "Present facts from AQOS"
script_job.coral-eat-seaweed.argue.evidence_7, @952EA16E, "Let me get back to you"
script_job.coral-eat-seaweed.argue.giveUp_0, @14314122, "{@profCoral}   Of course. Take your time, Ollie."
script_job.coral-eat-seaweed.argue.urchin_1, @B912450A, "{@profCoral} Ah. Wonderful job, Ollie."
script_job.coral-eat-seaweed.argue.urchin_2, @B8124377, "If we simply removed the Sargassum ourselves, more would be swept in."
script_job.coral-eat-seaweed.argue.urchin_3, @B71241E4, "The Urchins could be the long-term solution we're looking for."
script_job.coral-eat-seaweed.argue.urchin_4, @B6124051, "{@player} Yes!! Now we just need to get some Urchins in there, and adios, Sargassum!"
script_job.coral-eat-seaweed.argue.urchin_5, @B5123EBE, "{@profCoral} Hmmm. Though I wonder how Urchins might affect the rest of the ecosystem."
script_job.coral-eat-seaweed.argue.urchin_6, @B4123D2B, "I've heard they can destroy Kelp Forests..."
script_job.coral-eat-seaweed.argue.urchin_8, @B2123A05, "{@profCoral} Furthermore, it's interesting that the {pluralnameof Urchin} are stressed in this environment."
script_job.coral-eat-seaweed.argue.urchin_9, @B1123872, "I wonder if that has an impact on the system."
script_job.coral-eat-seaweed.argue.unrelated_3, @F2D32AE3, "{@profCoral} That isn't helpful here, Ollie."
script_job.coral-eat-seaweed.argue.unrelated_4, @F7D332C2, "{@profCoral} We need evidence that Urchins eat Sargassum."
script_job.coral-fake-fix.start_0, @5493CB1E, "{@profCoral} The site that we call Restoration Reef has been struggling."
script_job.coral-fake-fix.start_1, @5593CCB1, "A while back, I had my team add an Artificial Reef."
script_job.coral-fake-fix.start_2, @5293C7F8, "We hoped it might boost the Staghorn Coral population."
script_job.coral-fake-fix.start_3, @5393C98B, "{@player}\tIs it working?"
script_job.coral-fake-fix.start_4, @5893D16A, "{@profCoral} I was hoping you'd find that out for us, Ollie."
script_job.coral-fake-fix.start_5, @5993D2FD, "We need to know if the {critter-name}artificial reefs{/critter-name} are still there..."
script_job.coral-fake-fix.start_6, @5693CE44, "And if the population of {nameof StaghornCoral} has increased."
script_job.coral-fake-fix.start_7, @5793CFD7, "{@player}    Copy that."
script_job.coral-fake-fix.start_8, @4C93BE86, "{@profCoral}  Oh, and Ollie... look out for spears out there."
script_job.coral-fake-fix.start_9, @4D93C019, "{@player}\tUm... excuse me? <i>Spears??<i/>"
script_job.coral-fake-fix.start_10, @38AAEF13, "{@profCoral} Good luck! Now if you'll excuse me, the turtles in my lab need their mid-morning shrimp cakes..."
script_job.coral-fake-fix.enterSite_0, @0E642E3B, "{@player} Oh no. {nameof @guide}, look at this place."
script_job.coral-fake-fix.enterSite_1, @0D642CA8, "{nameof @profCoral} was right, there are spears everywhere. No wonder the coral is struggling!"
script_job.coral-fake-fix.enterSite_2, @10643161, "{@guide}\tAh. Do humans typically spear-fish for Staghorn Coral?"
script_job.coral-fake-fix.enterSite_3, @0F642FCE, "{@player}\tUm... well, no. But a bunch of spears everywhere can't be a good thing, right?"
script_job.coral-fake-fix.enterSite_4, @12643487, "We need to talk to the Professor about this... but I guess I better finish the job first."
script_job.coral-fake-fix.enterSite_5, @116432F4, "{@guide} Affirmative, O. Check your AQOS to see your current tasks!"
script_job.coral-fake-fix.helpEnterSite_0, @43794DFA, "{@player} What now, {nameof @guide}?"
script_job.coral-fake-fix.helpEnterSite_1, @44794F8D, "{@guide}\tGo to {h}Site S{/h} to scan the {critter-name}artificial reef{/critter-name} and find the current and historical coral population."
script_job.coral-fake-fix.helpScanPop_0, @F29FA943, "{@guide}\tYou still need to collect the historical data for the Coral. See if you can find the population probe!"
script_job.coral-fake-fix.helpCount_0, @C399EB70, "{@player} What am I missing, {nameof @guide}?"
script_job.coral-fake-fix.helpCount_1, @C499ED03, "{@guide}\tYou still need to count the {nameof StaghornCoral} and {critter-name}artificial reefs{/critter-name} using your Counting tool."
script_job.coral-fake-fix.siteCompleted_0, @A0B3A67E, "{@guide} Acceptable work, O!"
script_job.coral-fake-fix.siteCompleted_1, @A1B3A811, "You've gathered enough data to report back to {nameof @profCoral}."
script_job.coral-fake-fix.helpSurface_0, @C0032A34, "{@player} \tWhat now, {nameof @guide}?"
script_job.coral-fake-fix.helpSurface_1, @C1032BC7, "{@guide}\tYou're ready to present your findings! Return to the Serenity Meadows station."
script_job.coral-fake-fix.helpReturnArgue2_0, @6FB08755, "{@guide}\t{nameof profCoral} is waiting for your findings about the effectiveness of the coral reef."
script_job.coral-fake-fix.catchFindReef_0, @F5697F08, "{@player} What now, {nameof @guide}?"
script_job.coral-fake-fix.catchFindReef_1, @F669809B, "{@guide}    Look for an {critter-name}artificial reef{/critter-name} at {h}Site S{/h}."
script_job.coral-fake-fix.catchScanProbes_0, @05EAB9B3, "{@player} What should I do now, {nameof @guide}?"
script_job.coral-fake-fix.catchScanProbes_1, @04EAB820, "{@guide}    There should be a population probe at {h}Site S{/h}. You will need to collect its data."
script_job.coral-fake-fix.catchCountPopulations_0, @D5304D04, "{@player} What should I do now, {nameof @guide}?"
script_job.coral-fake-fix.catchCountPopulations_1, @D6304E97, "{@guide}    Count how much {nameof StaghornCoral} and {critter-name}artificial reef{/critter-name} can be found at {h}Site S{/h}."
script_job.coral-fake-fix.argue.chooseClaim_1, @5DDC29BE, "{@profCoral} Okay, then. What did you find at the reef?"
script_job.coral-fake-fix.argue.chooseClaim_3, @5BDC2698, "{@player} Ugh, it was muy loco, Professor. Spears everywhere, and tons of dead, creepy-looking fish!"
script_job.coral-fake-fix.argue.chooseClaim_4, @62DC319D, "We need to do something, report this to someone, before they wreck the whole reef——"
script_job.coral-fake-fix.argue.chooseClaim_5, @61DC300A, "{@profCoral} Just a moment, Ollie. I'd like to talk about your current job."
script_job.coral-fake-fix.argue.chooseClaim_6, @60DC2E77, "{@player} But..."
script_job.coral-fake-fix.argue.chooseClaim_9, @55DC1D26, "{@profCoral} Have the artificial reefs increased coral populations?"
script_job.coral-fake-fix.argue.chooseClaim_10, @4F956A8A, "No, the artificial reefs haven't helped."
script_job.coral-fake-fix.argue.chooseClaim_11, @50956C1D, "Yes, the artificial reefs helped!"
script_job.coral-fake-fix.argue.chooseClaim_12, @4D956764, "Let me check my notes and get back to you."
script_job.coral-fake-fix.argue.claimNoHelp_0, @1FF96D96, "{@profCoral}\tHow do you know?"
script_job.coral-fake-fix.argue.chooseFactsNoHelp_0, @D7E90A2E, "Present facts from AQOS"
script_job.coral-fake-fix.argue.chooseFactsNoHelp_3, @D6E9089B, "Let me get back to you"
script_job.coral-fake-fix.argue.correctFactsAB_1, @3CDBF811, "{@profCoral} Hmmm. So it seems the artificial reef hasn't helped."
script_job.coral-fake-fix.argue.correctFactsAB_2, @39DBF358, "{@player} That's because there's something else going on out there, Professor!"
script_job.coral-fake-fix.argue.correctFactsAB_3, @3ADBF4EB, "What's the deal with all those spears?"
script_job.coral-fake-fix.argue.correctFactsAB_4, @3FDBFCCA, "{@profCoral}   Lionfish hunting is common here, Ollie. They're considered a delicacy."
script_job.coral-fake-fix.argue.correctFactsAB_5, @40DBFE5D, "{@player}\tWait... those creepy dead fish were lionfish??"
script_job.coral-fake-fix.argue.correctFactsAB_6, @3DDBF9A4, "{@profCoral} Yes. If you're interested, I'll be looking into the impact of the lionfish soon..."
script_job.coral-fake-fix.argue.correctFactsAB_7, @3EDBFB37, "Sofia is refusing to fix my engine until I investigate her conspiracy th——ahem, I mean, her theory."
script_job.coral-fake-fix.argue.correctFactsAB_8, @33DBE9E6, "In the meantime, great work out there, Ollie."
script_job.coral-fake-fix.argue.incorrectFacts_2, @DF331538, "{@profCoral}\tHmmm. The coral population hasn't seemed to improve."
script_job.coral-fake-fix.argue.incorrectFacts_3, @E03316CB, "Was our installation successful? Are the artificial reefs still there?"
script_job.coral-fake-fix.argue.incorrectFacts_10, @D7718AD3, "{@profCoral}\tI see. So our installation was successful. And what did you discover about the coral population?"
script_job.coral-fake-fix.argue.incorrectFacts_16, @DD719445, "{@profCoral}\tThat doesn't really help us, Ollie."
script_job.coral-fake-fix.argue.giveUp_0, @C70F2FCC, "{@profCoral}\tNo hurry, Ollie. Get back to me when you're ready."
script_job.coral-fake-fix.argue.claimHelp_0, @3D993361, "{@profCoral}\tCan you show me the historic coral populations?"
script_job.coral-fake-fix.argue.claimHelp_6, @3F993687, "Present facts from AQOS"
script_job.coral-fake-fix.argue.claimHelp_9, @34992536, "Let me get back to you"
script_job.coral-fake-fix.argue.correctFactsIncorrect_0, @5B28E646, "{@profCoral}\tThis doesn't seem right, Ollie."
script_job.coral-fake-fix.argue.correctFactsIncorrect_1, @5C28E7D9, "Can you reconsider your claim?"
script_job.coral-fake-fix.argue.incorrectFactsIncorrect_1, @20B18F94, "{@profCoral}  Actually, I'm looking for the population history of the {h}{nameof StaghornCoral}{/h}"
script_job.coral-fake-fix.argue.incorrectFactsIncorrect_8, @19B1848F, "{@profCoral}\tHmmm... That's not the fact we need, Ollie."
script_job.coral-fake-fix.argue.incorrectFactsIncorrect_9, @18B182FC, "Would you like to amend your claim?"
script_job.coral-fake-fix.argue.incorrectFactsIncorrect_10, @1B851F2C, "Yeah, I'll give it another try."
script_job.coral-fake-fix.argue.incorrectFactsIncorrect_11, @1C8520BF, "Let me get back to you."
script_job.coral-fishy-bizz.start_0, @42B36228, "{@profCoral}\tAh, thank you, Ollie!"
script_job.coral-fishy-bizz.start_1, @43B363BB, "I've been meaning to take on this job for ages, but I've just been so busy with my turtle research."
script_job.coral-fishy-bizz.start_2, @44B3654E, "{@player}\t  No hay problema. How can I help?"
script_job.coral-fishy-bizz.start_3, @45B366E1, "{@profCoral}  Serenity Meadows has become a popular fishing spot for Red Grouper."
script_job.coral-fishy-bizz.start_4, @46B36874, "We do want people to be able to keep fishing... but we also need to make sure the Grouper population doesn't start to decline."
script_job.coral-fishy-bizz.start_5, @47B36A07, "Start by heading outside and gathering data about the Grouper and the Fishers."
script_job.coral-fishy-bizz.start_6, @48B36B9A, "Then figure out how much Grouper can be harvested sustainably."
script_job.coral-fishy-bizz.start_7, @49B36D2D, "{@player}\t  I'm on it! I'll let you know what I find out."
script_job.coral-fishy-bizz.helpGoOutside_0, @FEA8E980, "{@player}   Any idea where I should go next?"
script_job.coral-fishy-bizz.helpGoOutside_1, @FFA8EB13, "{@guide}\tFirst you will need to head to Site V."
script_job.coral-fishy-bizz.navigation_0, @4E524F24, "{@guide} \tYou need to investigate the Grouper and the Fishers."
script_job.coral-fishy-bizz.navigation_1, @4F5250B7, "Make your way to Site V!"
script_job.coral-fishy-bizz.helpGoToSiteV_0, @9EE14EBB, "{@player} \tWhere should I be going again?"
script_job.coral-fishy-bizz.helpGoToSiteV_1, @9DE14D28, "{@guide}\tSite V should be at the southern buoy."
script_job.coral-fishy-bizz.helpGoToSiteV_2, @A0E151E1, "{@guide}\tLet's head over there and dive down."
script_job.coral-fishy-bizz.gotScans_0, @4B59FF1E, "{@guide} \tSufficient work, O!"
script_job.coral-fishy-bizz.gotScans_1, @4C5A00B1, "Time to head back to the AquaLab and run your experiment."
script_job.coral-fishy-bizz.helpAtSiteV_0, @FA7D9289, "{@player} \tWhat should I do next, {nameof @guide}?"
script_job.coral-fishy-bizz.helpAtSiteV_4, @FE7D98D5, "{@guide} \tYou've obtained all the data you need, O. Time to head back to your ship!"
script_job.coral-fishy-bizz.helpAtSiteV_6, @FC7D95AF, "{@guide} \tDid you try scanning the population probe yet? Some of the data you need should be in there."
